Date,Prev Close,Open,High,Low,Last,Close,VWAP
02-01-2012,383.65,384,391.45,381,389,386.75,386.67
03-01-2012,386.75,389,394.6,386.35,391.3,392.7,390.24
04-01-2012,392.7,391.1,398.8,388,393.5,394.35,393.56
05-01-2012,394.35,394.95,394.95,379.05,381.15,381,381.71
06-01-2012,381,379.75,384.9,372,381,380.85,379.77
07-01-2012,380.85,383.5,384.8,378.75,383.25,383.15,381.88
09-01-2012,383.15,387,390,378.35,380.55,380.65,382.58
10-01-2012,380.65,381.5,384.4,380,381,380.8,382.12
11-01-2012,380.8,382.9,384,379.2,381.2,380.3,381.04
12-01-2012,380.3,382.5,388,381.8,386,385.25,384.84
13-01-2012,385.25,388,388,372,372.65,373.45,376.39
16-01-2012,373.45,374,374,367,373.95,372.3,370.85
17-01-2012,372.3,373,374.6,368.6,370.35,370.45,372.36
18-01-2012,370.45,373.7,374.2,360,365.25,364.9,367.06
19-01-2012,364.9,366.5,371.5,365.5,369.5,368.9,368.43
20-01-2012,368.9,369.1,375.9,365.6,371.55,372.35,369.8
23-01-2012,372.35,372.9,374,364.05,367.9,369.45,369.16
24-01-2012,369.45,371.5,372,366.5,367.25,367.65,368.45
25-01-2012,367.65,370.8,370.8,364.6,368,366.15,367.29
27-01-2012,366.15,372,375.8,366,371,372.5,371.91
30-01-2012,372.5,371.5,378.9,366.6,368.45,368.8,374.21
31-01-2012,368.8,373.4,374.95,368.3,373.25,373.3,371.97
01-02-2012,373.3,370.05,378.5,369.25,377,376.7,373.17
02-02-2012,376.7,379.4,389.8,376.55,387.3,388.5,383.54
03-02-2012,388.5,391,394,389.5,390.7,391.45,391.69
06-02-2012,391.45,395.2,396.6,385,388.1,389.55,388.07
07-02-2012,389.55,390.9,390.9,377.3,378.65,379.1,382.01
08-02-2012,379.1,378.2,394.7,378,393.5,391.75,387.99
09-02-2012,391.75,391,394.8,385,387.95,389.15,389.07
10-02-2012,389.15,389.5,391.85,381.2,386.8,385.85,386.04
13-02-2012,385.85,386,393.3,385.55,388,388.1,389.33
14-02-2012,388.1,388.2,392.4,384.4,385.65,385.55,387.82
15-02-2012,385.55,388.8,399,386.25,397.75,396.95,394.69
16-02-2012,396.95,395.95,400.85,384.2,384.5,385,389.23
17-02-2012,385,389,390.1,375.7,381.85,380.7,382
21-02-2012,380.7,382,382.7,376.3,382,380.95,379.55
22-02-2012,380.95,383,384.5,372.1,375.6,375.15,376.83
23-02-2012,375.15,375.5,377.2,370.1,374,373.6,373.61
24-02-2012,373.6,376.7,379.9,373,374.85,374.9,375.5
27-02-2012,374.9,377,377.7,370.1,371.2,371.55,372.76
28-02-2012,371.55,372.1,378.5,372.1,374,374.2,375.34
29-02-2012,374.2,377.5,378.9,370,373.3,374.9,373.53
01-03-2012,374.9,375,379.4,368.2,373.5,373.75,371.64
02-03-2012,373.75,376.85,376.85,370.25,371.05,371.25,372.36
03-03-2012,371.25,373,373,370.65,371.5,371.6,371.75
05-03-2012,371.6,372,372.25,352.5,353.1,353.25,356.7
06-03-2012,353.25,355,356.9,345.75,353.2,351.5,351.15
07-03-2012,351.5,352.95,352.95,345.9,346.5,347.55,349.08
09-03-2012,347.55,351.2,353.1,347.25,348.5,349.15,350.85
12-03-2012,349.15,355,355.5,349.55,355.2,354.4,352.41
13-03-2012,354.4,355.25,371.7,355.25,370.45,370.2,365.78
14-03-2012,370.2,375,376.5,368,375.15,375.1,373.72
15-03-2012,375.1,377,379.8,372,372.75,374.8,376.73
16-03-2012,374.8,371.55,379,363.1,367.5,366.6,371.29
19-03-2012,366.6,367,370.9,361,362,363.6,365.84
20-03-2012,363.6,362.75,368.1,360.2,364,364.05,365.36
21-03-2012,364.05,364.05,373.8,361,372.5,369.45,366
22-03-2012,369.45,370.05,372.15,360.1,360.1,361.85,365.64
23-03-2012,361.85,362,374.65,358,370.75,369.9,367.9
26-03-2012,369.9,372.7,372.9,360.05,361.5,362.6,364.94
27-03-2012,362.6,367.7,368.7,361.25,365.7,363.5,363.53
28-03-2012,363.5,364.6,370.75,363.25,366.35,366.2,367.27
29-03-2012,366.2,364.4,372.9,360.6,368.15,367.9,365.55
30-03-2012,367.9,370,383.4,369.7,375.35,376.25,377.98
02-04-2012,376.25,378.4,381.15,372.5,377.35,377.15,376.62
03-04-2012,377.15,379,385.5,379,381.6,383.35,383.2
04-04-2012,383.35,378.55,379.5,368.55,370.9,371.1,371.17
09-04-2012,371.1,371,371,361.4,362.55,363.15,363.26
