Date,Prev Close,Open,High,Low,Last,Close,VWAP
02-01-2012,256.6,257.5,262.85,256.45,258.6,258.35,259.82
03-01-2012,258.35,261.1,264.5,259.65,263.8,263.2,261.71
04-01-2012,263.2,264,267.6,261.1,266.3,266.7,265.74
05-01-2012,266.7,268.45,269.95,261,262.05,261.75,264.53
06-01-2012,261.75,256.4,258.4,253.65,255.85,255.65,255.79
07-01-2012,255.65,255.7,257.35,255.7,256.6,256.4,256.52
09-01-2012,256.4,259,259,253.2,257.35,257.2,255.52
10-01-2012,257.2,263,263,258.15,261.55,261.2,260.13
11-01-2012,261.2,261.9,261.9,258.3,259.5,259.6,259.9
12-01-2012,259.6,261.4,262,256.5,257.8,257.8,258.73
13-01-2012,257.8,259.95,261,256.95,260.3,259.7,259.29
16-01-2012,259.7,260,260.95,255.75,255.9,256.25,257.41
17-01-2012,256.25,257,263.45,255.1,262.25,262.1,259.52
18-01-2012,262.1,263.5,269.7,261.1,267.5,268.25,267.05
19-01-2012,268.25,270,274.25,265,271.6,271.8,269.16
20-01-2012,271.8,271.6,277.9,269.4,275.7,275.95,272.84
23-01-2012,275.95,277,278.35,273.05,275.8,275.35,275.6
24-01-2012,275.35,275.35,277.75,271.85,276,274.2,275.36
25-01-2012,274.2,276.45,276.8,270.65,271.5,272.55,274.05
27-01-2012,272.55,278,280.1,254.2,279.5,278.3,275.35
30-01-2012,278.3,275,282.8,274.05,275.75,275.8,278.77
31-01-2012,275.8,278,281.35,274.65,275.85,276.05,277.44
01-02-2012,276.05,273.2,275.2,269,273.35,272.45,271.39
02-02-2012,272.45,273.7,279.5,273.7,277,276.15,276.8
03-02-2012,276.15,278,283.5,273.55,281,281.65,278.12
06-02-2012,281.65,282,284.95,278.55,282.45,283.3,281.85
07-02-2012,283.3,282.1,287.6,279.4,286.6,286.25,283.95
08-02-2012,286.25,285.9,286,278.8,282.95,283.2,282.98
09-02-2012,283.2,278.5,283.65,275.65,282.7,281.3,278.75
10-02-2012,281.3,282,288.5,279.1,283.2,281.75,283.06
13-02-2012,281.75,284.5,286.2,279.6,281.3,280.85,282.33
14-02-2012,280.85,279,280.5,275.5,276,276.1,276.96
15-02-2012,276.1,278.5,284.8,276.25,279,279.15,280.51
16-02-2012,279.15,279.5,283.7,277.05,280.3,281.3,280.99
17-02-2012,281.3,283,290.5,279.8,282.05,281.25,284.55
21-02-2012,281.25,283,294.5,283,293.7,291.85,290.69
22-02-2012,291.85,294.7,304.25,289.05,292.75,292.65,297
23-02-2012,292.65,295.4,296.8,287.25,289.45,290.35,290.84
24-02-2012,290.35,293.85,294,281.15,284.05,284.55,287.28
27-02-2012,284.55,284.55,287.95,277.3,281,281.05,282.94
28-02-2012,281.05,283,286,278,283.05,283.4,282.51
29-02-2012,283.4,296,298.45,291.7,293.2,293.2,294.7
01-03-2012,293.2,294.85,296.45,285,288,288.2,290.22
02-03-2012,288.2,284.5,285.4,276.2,280.9,281.4,281.42
03-03-2012,281.4,283,283,280.2,280.45,281.15,281.61
05-03-2012,281.15,279.9,286,276.5,284.15,283.7,280.94
06-03-2012,283.7,284.6,289,281,282.95,282.6,284.76
07-03-2012,282.6,282.8,283.75,277.5,279,278.95,279.25
09-03-2012,278.95,283,284.2,279.85,281.7,282.9,282
12-03-2012,282.9,284.95,284.95,276.8,277.35,277.65,279.93
13-03-2012,277.65,279.5,288.6,278.65,287,287.55,284.54
14-03-2012,287.55,290.15,295,286.6,292.4,293.75,291.06
15-03-2012,293.75,293.5,293.6,284.7,285.25,286.55,287.7
16-03-2012,286.55,284.4,289.25,268.65,271,273.05,274.43
19-03-2012,273.05,270,275.35,267.05,271.05,272.65,271.73
20-03-2012,272.65,272,274.1,270.5,272.05,272.3,272.38
21-03-2012,272.3,272.3,273.95,269,271,271.55,271.44
22-03-2012,271.55,272.4,275.95,270,270.5,270.55,272.68
23-03-2012,270.55,272,272.4,265.6,267.85,267.4,267.97
26-03-2012,267.4,269,269.95,260.8,261.85,261.85,263.61
27-03-2012,261.85,263.2,267.5,259,266.8,265.5,262.79
28-03-2012,265.5,266,266,256.4,258.6,257.75,260.84
29-03-2012,257.75,257,264.8,254,260,260.4,257.75
30-03-2012,260.4,261,270.2,259.7,268.35,268.35,265.42
02-04-2012,268.35,268.9,271.8,265,270.1,269.85,268.94
03-04-2012,269.85,271.8,275.3,270.2,271.95,273.25,273.04
04-04-2012,273.25,274.3,275.95,272.35,274.4,274.3,274.18
09-04-2012,274.3,271.5,273.95,267.15,268.5,268.8,270.75
10-04-2012,268.8,269.55,270.25,262.35,264.35,264.65,265.28
11-04-2012,264.65,263,267.5,261.55,266.5,264.1,264.83
12-04-2012,264.1,266.55,266.7,260.8,261,261.1,262.62
13-04-2012,261.1,262,264.8,257.6,261.2,260.8,262.18
16-04-2012,260.8,260.2,262,258.3,259.55,259.1,259.4
17-04-2012,259.1,260,270.4,257.1,269.95,269.05,265.53
18-04-2012,269.05,269.25,273.4,269.1,269.55,271.3,272.08
19-04-2012,271.3,271.15,273.5,269,272.3,272.25,272.11
20-04-2012,272.25,271.95,275.45,264.45,265.5,267,270.72
23-04-2012,267,265.3,270.9,264.7,264.8,267.85,267.92
24-04-2012,267.85,266.25,269.95,264.55,267.3,268.35,268.26
25-04-2012,268.35,268.7,269.85,263.25,263.6,264.65,267.03
26-04-2012,264.65,266.8,266.8,262.35,265.35,264.15,264.12
27-04-2012,264.15,265,266.85,260.7,262.2,262.6,263.12
